,Clearsky DHI,Clearsky DNI,Clearsky GHI,Solar Zenith Angle,Precipitable Water
81360,11,56,12,88.53,4.823
81361,0,0,0,94.7,4.81
81362,0,0,0,100.74,4.797
81363,0,0,0,106.61,4.7810000000000015
81364,0,0,0,112.24,4.766
81365,0,0,0,117.58,4.753
81366,0,0,0,122.53,4.7410000000000005
81367,0,0,0,126.98,4.7360000000000015
81368,0,0,0,130.78,4.731
81369,0,0,0,133.78,4.737
81370,0,0,0,135.81,4.743
81371,0,0,0,136.72,4.763999999999999
81372,0,0,0,136.45,4.7860000000000005
81373,0,0,0,135.02,4.822
81374,0,0,0,132.54,4.859
81375,0,0,0,129.16,4.904
81376,0,0,0,125.04,4.949
81377,0,0,0,120.35,4.989
81378,0,0,0,115.22,5.029
81379,0,0,0,109.74,5.058
81380,0,0,0,103.99,5.088
81381,0,0,0,98.05,5.114
81382,0,0,0,91.95,5.14
81383,27,113,35,85.73,5.167000000000002
81384,62,293,116,79.44,5.194
81385,89,430,214,73.1,5.221
81386,109,526,317,66.73,5.249
81387,125,599,421,60.37,5.278
81388,138,651,521,54.06,5.308
81389,148,692,613,47.83,5.332999999999998
81390,112,806,713,41.76,5.358
81391,116,826,786,35.95,5.372999999999998
81392,118,844,845,30.56,5.388999999999999
81393,120,855,889,25.89,5.398
81394,121,862,918,22.4,5.407
81395,122,865,931,20.71,5.407
81396,206,742,898,21.26,5.407
81397,204,736,878,23.89,5.395
81398,198,730,843,28.01,5.382999999999999
81399,193,715,792,33.07,5.357
81400,180,703,729,38.69,5.332000000000002
81401,172,674,652,44.64,5.295
81402,149,664,569,50.8,5.257999999999999
81403,137,616,472,57.08,5.221
81404,119,564,372,63.43,5.184
81405,101,479,267,69.8,5.147
81406,77,374,166,76.17,5.11
81407,46,213,74,82.5,5.074
81408,8,27,9,88.77,5.039
81409,0,0,0,94.95,5.004
81410,0,0,0,100.99,4.968999999999999
81411,0,0,0,106.87,4.938
81412,0,0,0,112.52,4.907
81413,0,0,0,117.87,4.876
81414,0,0,0,122.83,4.846
81415,0,0,0,127.29,4.817
81416,0,0,0,131.11,4.789
81417,0,0,0,134.12,4.763999999999999
81418,0,0,0,136.15,4.74
81419,0,0,0,137.06,4.727
81420,0,0,0,136.78,4.715
81421,0,0,0,135.33,4.716
81422,0,0,0,132.82,4.718
81423,0,0,0,129.42,4.726
81424,0,0,0,125.28,4.735
81425,0,0,0,120.56,4.75
81426,0,0,0,115.41,4.765
81427,0,0,0,109.91,4.7780000000000005
81428,0,0,0,104.15,4.791
81429,0,0,0,98.19,4.801
81430,0,0,0,92.08,4.812
81431,26,109,34,85.86,4.824
81432,62,291,115,79.56,4.836
81433,89,429,213,73.21,4.845
81434,110,527,317,66.84,4.855
81435,125,600,421,60.49,4.86
81436,141,648,520,54.18,4.8660000000000005
81437,151,690,613,47.96,4.875
81438,146,745,701,41.91,4.884
81439,152,769,774,36.12,4.9
81440,156,787,833,30.77,4.917
81441,159,799,877,26.14,4.933
81442,160,808,906,22.7,4.95
81443,161,811,918,21.05,4.95
81444,160,810,914,21.61,4.9510000000000005
81445,159,805,894,24.22,4.928999999999999
81446,158,793,857,28.32,4.907
81447,154,779,805,33.35,4.872
81448,149,759,740,38.95,4.838
81449,143,732,662,44.89,4.802
81450,140,685,571,51.04,4.766
81451,129,638,474,57.31,4.734
81452,120,561,369,63.66,4.703
81453,102,475,264,70.03,4.67
81454,80,346,161,76.4,4.638
81455,46,188,70,82.73,4.593999999999999
81456,0,0,0,89.01,4.551
81457,0,0,0,95.19,4.494
81458,0,0,0,101.25,4.438
81459,0,0,0,107.13,4.367
81460,0,0,0,112.79,4.296
81461,0,0,0,118.16,4.224
81462,0,0,0,123.14,4.1530000000000005
81463,0,0,0,127.62,4.09
81464,0,0,0,131.45,4.029
81465,0,0,0,134.47,3.979
81466,0,0,0,136.5,3.929
81467,0,0,0,137.41,3.879
81468,0,0,0,137.12,3.829
81469,0,0,0,135.65,3.768
81470,0,0,0,133.11,3.708
81471,0,0,0,129.67,3.631
81472,0,0,0,125.51,3.554
81473,0,0,0,120.77,3.4560000000000004
81474,0,0,0,115.59,3.358
81475,0,0,0,110.08,3.253
81476,0,0,0,104.3,3.148
81477,0,0,0,98.33,3.05
81478,0,0,0,92.21,2.9530000000000003
81479,26,151,36,85.98,2.8760000000000003
81480,56,369,122,79.68,2.799
81481,78,516,226,73.33,2.748
81482,92,620,335,66.96,2.699
81483,104,692,444,60.61,2.6710000000000003
81484,113,746,549,54.3,2.644
81485,121,786,645,48.1,2.619
81486,127,814,732,42.06,2.595
81487,132,837,807,36.29,2.5580000000000003
81488,135,855,869,30.97,2.522
81489,138,868,915,26.39,2.479
81490,137,879,947,23.0,2.437
81491,138,883,960,21.39,2.404
81492,136,884,957,21.96,2.372
81493,135,880,936,24.56,2.351
81494,131,874,899,28.63,2.33
81495,128,861,845,33.64,2.307
81496,122,846,778,39.22,2.285
81497,117,822,697,45.15,2.248
81498,108,796,606,51.28,2.212
81499,100,754,505,57.55,2.167
81500,87,707,398,63.89,2.122
81501,75,628,288,70.26,2.083
81502,58,524,179,76.63,2.044
81503,37,343,79,82.97,2.021
81504,0,0,0,89.25,2.001
81505,0,0,0,95.44,2.011
81506,0,0,0,101.51,2.021
81507,0,0,0,107.4,2.053
81508,0,0,0,113.07,2.085
81509,0,0,0,118.45,2.114
81510,0,0,0,123.45,2.143
81511,0,0,0,127.94,2.151
81512,0,0,0,131.79,2.16
81513,0,0,0,134.82,2.157
81514,0,0,0,136.86,2.154
81515,0,0,0,137.76,2.135
81516,0,0,0,137.45,2.117
81517,0,0,0,135.96,2.092
81518,0,0,0,133.4,2.067
81519,0,0,0,129.93,2.043
81520,0,0,0,125.74,2.019
81521,0,0,0,120.98,2.009
81522,0,0,0,115.78,2.001
81523,0,0,0,110.25,2.007
81524,0,0,0,104.45,2.013
81525,0,0,0,98.47,2.027
81526,0,0,0,92.34,2.04
81527,25,180,37,86.1,2.059
81528,52,420,126,79.79,2.079
81529,70,566,232,73.44,2.11
81530,82,672,344,67.08,2.142
81531,92,738,453,60.72,2.187
81532,99,789,558,54.43,2.234
81533,106,825,655,48.23,2.285
81534,134,807,732,42.21,2.336
81535,140,829,806,36.47,2.386
81536,153,828,862,31.18,2.437
81537,156,840,907,26.64,2.482
81538,166,834,933,23.3,2.528
81539,167,836,945,21.73,2.5660000000000003
81540,196,792,929,22.31,2.604
81541,194,786,907,24.9,2.635
81542,194,769,868,28.95,2.6660000000000004
81543,189,753,814,33.93,2.69
81544,183,730,746,39.49,2.714
81545,174,700,666,45.4,2.724
81546,143,705,582,51.53,2.735
81547,132,656,482,57.79,2.732
81548,116,596,376,64.13,2.73
81549,99,507,268,70.5,2.7260000000000004
81550,74,395,164,76.87,2.722
81551,43,218,69,83.21,2.7230000000000003
81552,0,0,0,89.49,2.725
81553,0,0,0,95.69,2.74
81554,0,0,0,101.77,2.755
81555,0,0,0,107.67,2.783
81556,0,0,0,113.36,2.8110000000000004
81557,0,0,0,118.75,2.849
81558,0,0,0,123.76,2.889
81559,0,0,0,128.27,2.929
81560,0,0,0,132.13,2.971
81561,0,0,0,135.17,3.004
81562,0,0,0,137.21,3.0380000000000003
81563,0,0,0,138.11,3.063
81564,0,0,0,137.79,3.089
81565,0,0,0,136.28,3.105
81566,0,0,0,133.69,3.1210000000000004
81567,0,0,0,130.2,3.123
81568,0,0,0,125.98,3.1260000000000003
81569,0,0,0,121.19,3.113
81570,0,0,0,115.97,3.1010000000000004
81571,0,0,0,110.41,3.077
81572,0,0,0,104.61,3.053
81573,0,0,0,98.61,3.027
81574,0,0,0,92.47,3.0010000000000003
81575,24,150,34,86.23,2.985
81576,54,375,119,79.91,2.969
81577,74,522,222,73.56,2.965
81578,89,624,331,67.19,2.9610000000000003
81579,101,694,439,60.84,2.966
81580,111,742,542,54.55,2.971
81581,119,781,638,48.37,2.977
81582,130,800,722,42.36,2.985
81583,135,822,795,36.65,2.994
81584,143,832,854,31.39,3.004
81585,146,844,899,26.9,3.017
81586,149,848,927,23.6,3.031
81587,150,851,939,22.08,3.0460000000000003
81588,140,864,937,22.67,3.0610000000000004
81589,139,859,916,25.24,3.069
81590,137,848,877,29.27,3.0780000000000003
81591,133,834,824,34.23,3.082
81592,129,815,756,39.77,3.087
81593,123,789,675,45.66,3.103
81594,127,730,579,51.78,3.12
81595,117,683,479,58.04,3.131
81596,106,616,372,64.37,3.142
81597,90,528,264,70.74,3.137
81598,68,410,160,77.11,3.132
81599,40,229,66,83.46,3.113
81600,0,0,0,89.74,3.094
81601,0,0,0,95.95,3.08
81602,0,0,0,102.03,3.067
81603,0,0,0,107.95,3.063
81604,0,0,0,113.64,3.06
81605,0,0,0,119.05,3.05
81606,0,0,0,124.07,3.0410000000000004
81607,0,0,0,128.6,3.0210000000000004
81608,0,0,0,132.47,3.002
81609,0,0,0,135.52,2.983
81610,0,0,0,137.57,2.965
81611,0,0,0,138.47,2.952
81612,0,0,0,138.13,2.94
81613,0,0,0,136.59,2.932
81614,0,0,0,133.98,2.925
81615,0,0,0,130.46,2.918
81616,0,0,0,126.21,2.9130000000000003
81617,0,0,0,121.4,2.934
81618,0,0,0,116.15,2.957
81619,0,0,0,110.58,3.006
81620,0,0,0,104.76,3.055
81621,0,0,0,98.75,3.112
81622,0,0,0,92.6,3.17
81623,23,130,31,86.35,3.236
81624,58,317,113,80.03,3.303
81625,84,461,213,73.67,3.374
81626,104,555,319,67.31,3.446
81627,119,628,424,60.96,3.516
81628,132,681,526,54.68,3.5860000000000003
81629,141,722,620,48.51,3.631
81630,159,734,700,42.52,3.676
81631,166,758,773,36.83,3.704
81632,174,771,831,31.61,3.732
81633,177,783,875,27.15,3.759
81634,183,786,902,23.91,3.787
81635,184,789,914,22.42,3.812
81636,167,811,914,23.03,3.838
81637,166,805,892,25.59,3.859
81638,165,792,854,29.59,3.881
81639,161,776,801,34.53,3.897
81640,156,753,733,40.05,3.915
81641,149,724,653,45.93,3.93
81642,148,668,559,52.04,3.946
81643,136,617,461,58.28,3.958
81644,121,549,357,64.61,3.971
81645,101,459,251,70.98,3.977
81646,76,333,149,77.35,3.984
81647,40,167,59,83.7,3.992
81648,0,0,0,89.99,4.001
81649,0,0,0,96.21,4.013999999999999
81650,0,0,0,102.3,4.029
81651,0,0,0,108.22,4.045
81652,0,0,0,113.93,4.061
81653,0,0,0,119.35,4.07
81654,0,0,0,124.39,4.08
81655,0,0,0,128.93,4.08
81656,0,0,0,132.82,4.08
81657,0,0,0,135.88,4.069
81658,0,0,0,137.93,4.059
81659,0,0,0,138.82,4.043
81660,0,0,0,138.47,4.027
81661,0,0,0,136.91,4.013999999999999
81662,0,0,0,134.27,4.002
81663,0,0,0,130.72,3.998
81664,0,0,0,126.44,3.995
81665,0,0,0,121.61,4.006
81666,0,0,0,116.34,4.018
81667,0,0,0,110.75,4.046
81668,0,0,0,104.91,4.075
81669,0,0,0,98.89,4.113
81670,0,0,0,92.73,4.151
81671,22,78,26,86.47,4.1960000000000015
81672,60,280,108,80.15,4.2410000000000005
81673,88,422,206,73.79,4.285
81674,110,520,310,67.43,4.329
81675,126,595,414,61.09,4.363
81676,140,649,514,54.81,4.398
81677,151,692,608,48.65,4.425
81678,156,730,693,42.68,4.452
81679,162,754,765,37.01,4.4830000000000005
81680,172,765,822,31.83,4.513999999999999
81681,175,777,865,27.42,4.55
81682,185,773,891,24.22,4.587
81683,186,776,902,22.77,4.622
81684,164,806,904,23.4,4.658
81685,162,800,882,25.94,4.685
81686,164,783,843,29.92,4.712
81687,159,768,790,34.83,4.73
81688,155,745,723,40.33,4.749
81689,147,716,643,46.2,4.752
81690,153,645,548,52.3,4.756
81691,140,593,450,58.54,4.748
81692,125,521,347,64.86,4.7410000000000005
81693,104,430,243,71.23,4.746
81694,75,311,142,77.6,4.751
81695,38,148,54,83.95,4.77
81696,0,0,0,90.25,4.789
81697,0,0,0,96.47,4.824
81698,0,0,0,102.57,4.8610000000000015
81699,0,0,0,108.5,4.904
81700,0,0,0,114.22,4.948
81701,0,0,0,119.66,4.996
81702,0,0,0,124.71,5.045
81703,0,0,0,129.27,5.087
81704,0,0,0,133.17,5.13
81705,0,0,0,136.24,5.1560000000000015
81706,0,0,0,138.3,5.183
81707,0,0,0,139.18,5.19
81708,0,0,0,138.82,5.198
81709,0,0,0,137.23,5.189
81710,0,0,0,134.56,5.18
81711,0,0,0,130.98,5.16
81712,0,0,0,126.68,5.14
81713,0,0,0,121.81,5.118
81714,0,0,0,116.53,5.096
81715,0,0,0,110.92,5.085
81716,0,0,0,105.07,5.075
81717,0,0,0,99.03,5.077
81718,0,0,0,92.86,5.08
81719,20,67,24,86.6,5.077
81720,66,188,98,80.27,5.075
81721,106,314,193,73.91,5.047
81722,135,418,295,67.55,5.019
81723,159,495,397,61.21,4.9830000000000005
81724,173,564,498,54.94,4.947
81725,188,610,590,48.79,4.94
81726,208,629,670,42.84,4.934
81727,218,656,741,37.2,4.957
81728,222,680,799,32.05,4.981
81729,227,694,842,27.68,5.021
81730,232,700,869,24.54,5.061
81731,233,703,880,23.13,5.102
81732,278,637,861,23.76,5.143
81733,275,630,840,26.29,5.175
81734,274,610,801,30.25,5.207999999999998
81735,266,591,749,35.14,5.234
81736,252,569,684,40.62,5.261
81737,238,535,607,46.47,5.272
81738,209,515,523,52.56,5.283
81739,188,461,427,58.79,5.268
81740,163,387,326,65.11,5.254
81741,130,301,225,71.48,5.228
81742,87,194,128,77.85,5.202999999999999
81743,35,76,43,84.2,5.157
81744,0,0,0,90.5,5.112
81745,0,0,0,96.73,5.048
81746,0,0,0,102.84,4.9860000000000015
81747,0,0,0,108.78,4.916
81748,0,0,0,114.52,4.846
81749,0,0,0,119.96,4.78
81750,0,0,0,125.03,4.714
81751,0,0,0,129.6,4.6610000000000005
81752,0,0,0,133.52,4.6080000000000005
81753,0,0,0,136.61,4.579
81754,0,0,0,138.67,4.55
81755,0,0,0,139.54,4.551
81756,0,0,0,139.16,4.552
81757,0,0,0,137.55,4.572
81758,0,0,0,134.85,4.593
81759,0,0,0,131.24,4.619
81760,0,0,0,126.91,4.646
81761,0,0,0,122.02,4.677
81762,0,0,0,116.71,4.708
81763,0,0,0,111.09,4.74
81764,0,0,0,105.22,4.773
81765,0,0,0,99.17,4.8
81766,0,0,0,92.99,4.827
81767,20,64,23,86.72,4.851
81768,61,236,101,80.39,4.875
81769,94,374,197,74.03,4.893
81770,113,495,302,67.66,4.9110000000000005
81771,131,571,405,61.33,4.928
81772,140,640,507,55.07,4.9460000000000015
81773,151,684,600,48.94,4.955
81774,167,701,681,43.0,4.964
81775,175,727,752,37.39,4.968
81776,179,747,811,32.27,4.972
81777,183,760,854,27.95,4.97
81778,185,769,882,24.86,4.968999999999999
81779,186,772,894,23.48,4.959
81780,154,816,899,24.13,4.95
81781,153,810,877,26.65,4.935
81782,150,801,840,30.58,4.92
81783,146,786,787,35.45,4.902
81784,140,766,720,40.91,4.885
81785,134,739,640,46.75,4.854
81786,117,722,553,52.82,4.824
81787,108,674,455,59.05,4.785
81788,95,613,351,65.36,4.747
81789,80,523,245,71.73,4.715
81790,61,394,142,78.1,4.684
81791,33,202,52,84.46,4.655
81792,0,0,0,90.76,4.626
81793,0,0,0,97.0,4.599
81794,0,0,0,103.11,4.572
81795,0,0,0,109.07,4.553
81796,0,0,0,114.81,4.535
81797,0,0,0,120.27,4.539
81798,0,0,0,125.36,4.543
81799,0,0,0,129.94,4.559
81800,0,0,0,133.88,4.5760000000000005
81801,0,0,0,136.97,4.591
81802,0,0,0,139.04,4.607
81803,0,0,0,139.91,4.618
81804,0,0,0,139.51,4.63
81805,0,0,0,137.88,4.632
81806,0,0,0,135.14,4.635
81807,0,0,0,131.5,4.634
81808,0,0,0,127.14,4.633
81809,0,0,0,122.23,4.628
81810,0,0,0,116.9,4.623
81811,0,0,0,111.25,4.617
81812,0,0,0,105.37,4.6110000000000015
81813,0,0,0,99.31,4.605
81814,0,0,0,93.13,4.6
81815,20,76,24,86.85,4.596
81816,58,260,101,80.51,4.592
81817,88,405,199,74.15,4.588
81818,107,522,304,67.79,4.585
81819,123,598,409,61.46,4.589
81820,136,653,509,55.21,4.593999999999999
81821,146,696,602,49.08,4.601
81822,167,706,682,43.17,4.6080000000000005
81823,174,731,754,37.58,4.621
81824,178,751,812,32.5,4.634
81825,182,764,856,28.23,4.65
81826,183,774,884,25.18,4.666
81827,184,777,895,23.84,4.678999999999999
81828,185,772,889,24.5,4.6930000000000005
81829,183,766,866,27.01,4.699
81830,177,759,829,30.92,4.707
81831,173,743,776,35.76,4.707
81832,164,724,709,41.2,4.707
81833,156,694,629,47.03,4.699
81834,143,662,540,53.09,4.692
81835,130,610,442,59.31,4.678
81836,113,547,339,65.62,4.665
81837,94,454,234,71.98,4.66
81838,68,323,134,78.36,4.655
81839,33,147,47,84.71,4.659
81840,0,0,0,91.03,4.664
81841,0,0,0,97.26,4.68
81842,0,0,0,103.39,4.6960000000000015
81843,0,0,0,109.35,4.723
81844,0,0,0,115.11,4.751
81845,0,0,0,120.58,4.788
81846,0,0,0,125.68,4.825
81847,0,0,0,130.29,4.8580000000000005
81848,0,0,0,134.23,4.892
81849,0,0,0,137.34,4.914
81850,0,0,0,139.41,4.936
81851,0,0,0,140.27,4.944
81852,0,0,0,139.86,4.952
81853,0,0,0,138.2,4.947
81854,0,0,0,135.44,4.942
81855,0,0,0,131.77,4.928999999999999
81856,0,0,0,127.38,4.917
81857,0,0,0,122.44,4.901
81858,0,0,0,117.08,4.885
81859,0,0,0,111.42,4.872
81860,0,0,0,105.52,4.859
81861,0,0,0,99.45,4.849
81862,0,0,0,93.26,4.84
81863,16,38,18,86.97,4.831
81864,65,156,90,80.63,4.823
81865,110,274,184,74.27,4.813
81866,144,378,286,67.91,4.803999999999999
81867,171,454,388,61.58,4.806
81868,189,523,487,55.34,4.808
81869,206,570,579,49.23,4.819
81870,234,581,656,43.34,4.831
81871,245,609,727,37.78,4.85
81872,261,619,782,32.73,4.87
81873,267,634,825,28.5,4.892
81874,279,631,849,25.5,4.915
81875,281,634,860,24.2,4.938
81876,270,647,857,24.88,4.962
81877,267,640,835,27.37,4.984
81878,264,622,796,31.26,5.007
81879,256,603,744,36.08,5.022
81880,242,582,678,41.5,5.037
81881,228,548,600,47.31,5.029
81882,171,592,524,53.36,5.021
81883,155,537,427,59.57,4.999
81884,130,480,327,65.88,4.977
81885,106,385,224,72.24,4.96
81886,73,266,126,78.61,4.944
81887,32,106,41,84.97,4.927
81888,0,0,0,91.29,4.9110000000000005
81889,0,0,0,97.53,4.885
81890,0,0,0,103.66,4.8610000000000015
81891,0,0,0,109.64,4.827
81892,0,0,0,115.41,4.794
81893,0,0,0,120.9,4.747
81894,0,0,0,126.01,4.7010000000000005
81895,0,0,0,130.63,4.651
81896,0,0,0,134.59,4.602
81897,0,0,0,137.71,4.555
81898,0,0,0,139.78,4.509
81899,0,0,0,140.64,4.463
81900,0,0,0,140.21,4.418
81901,0,0,0,138.52,4.375
81902,0,0,0,135.73,4.334
81903,0,0,0,132.03,4.298
81904,0,0,0,127.61,4.262
81905,0,0,0,122.64,4.272
81906,0,0,0,117.27,4.282
81907,0,0,0,111.59,4.3260000000000005
81908,0,0,0,105.67,4.37
81909,0,0,0,99.59,4.421
81910,0,0,0,93.39,4.472
81911,18,63,21,87.09,4.524
81912,59,239,97,80.75,4.5760000000000005
81913,90,383,193,74.39,4.615
81914,113,491,297,68.03,4.655
81915,131,568,401,61.71,4.678
81916,140,640,503,55.48,4.7010000000000005
81917,151,683,596,49.38,4.711
81918,161,713,679,43.51,4.721
81919,168,738,751,37.97,4.72
81920,171,760,809,32.97,4.718999999999999
81921,175,773,853,28.78,4.713
81922,175,783,881,25.83,4.707
81923,176,786,892,24.57,4.697
81924,196,754,879,25.25,4.688
81925,194,748,857,27.74,4.673
81926,184,746,820,31.6,4.659
81927,179,729,767,36.4,4.647
81928,167,715,701,41.8,4.636
81929,159,684,621,47.59,4.647
81930,144,653,532,53.64,4.658
81931,132,599,433,59.84,4.688
81932,113,535,330,66.14,4.718999999999999
81933,93,439,225,72.5,4.746
81934,66,309,126,78.87,4.773
81935,30,130,40,85.23,4.792
81936,0,0,0,91.56,4.813
81937,0,0,0,97.8,4.833
81938,0,0,0,103.94,4.854
81939,0,0,0,109.93,4.886
81940,0,0,0,115.71,4.919
81941,0,0,0,121.21,4.935
81942,0,0,0,126.34,4.952
81943,0,0,0,130.98,4.952
81944,0,0,0,134.96,4.953
81945,0,0,0,138.08,4.944
81946,0,0,0,140.16,4.936
81947,0,0,0,141.01,4.918
81948,0,0,0,140.56,4.901
81949,0,0,0,138.85,4.879
81950,0,0,0,136.03,4.8580000000000005
81951,0,0,0,132.29,4.836
81952,0,0,0,127.84,4.814
81953,0,0,0,122.85,4.805
81954,0,0,0,117.45,4.797
81955,0,0,0,111.75,4.802
81956,0,0,0,105.82,4.807
81957,0,0,0,99.73,4.816
81958,0,0,0,93.52,4.8260000000000005
81959,17,72,21,87.22,4.84
81960,54,271,98,80.87,4.856
81961,82,420,195,74.51,4.881
81962,100,535,300,68.15,4.907
81963,115,611,404,61.84,4.9510000000000005
81964,127,669,505,55.62,4.996
81965,136,711,598,49.54,5.04
81966,133,763,685,43.68,5.085
81967,138,786,756,38.17,5.12
81968,150,789,811,33.2,5.1560000000000015
81969,153,801,854,29.06,5.192
81970,163,797,879,26.16,5.228
81971,163,800,889,24.93,5.272
81972,171,785,880,25.63,5.317
81973,170,779,857,28.11,5.372999999999998
81974,177,751,814,31.95,5.43
81975,172,734,760,36.73,5.49
81976,176,691,689,42.11,5.551
81977,167,659,609,47.88,5.613
81978,175,571,512,53.91,5.676
81979,158,514,415,60.11,5.739
81980,146,407,309,66.41,5.803
81981,116,311,208,72.76,5.871
81982,78,160,108,79.13,5.94
81983,25,43,29,85.5,6.0310000000000015
81984,0,0,0,91.82,6.122999999999998
81985,0,0,0,98.08,6.221
81986,0,0,0,104.22,6.3210000000000015
81987,0,0,0,110.22,6.3870000000000005
81988,0,0,0,116.01,6.454
81989,0,0,0,121.53,6.391
81990,0,0,0,126.68,6.33
81991,0,0,0,131.33,6.1560000000000015
81992,0,0,0,135.32,5.982
81993,0,0,0,138.46,5.709
81994,0,0,0,140.54,5.437
81995,0,0,0,141.38,5.189
81996,0,0,0,140.91,4.9430000000000005
81997,0,0,0,139.18,4.827
81998,0,0,0,136.32,4.711
81999,0,0,0,132.55,4.654
82000,0,0,0,128.07,4.597
82001,0,0,0,123.06,4.577
82002,0,0,0,117.64,4.558
82003,0,0,0,111.92,4.569
82004,0,0,0,105.98,4.581
82005,0,0,0,99.87,4.591
82006,0,0,0,93.65,4.602
82007,16,51,18,87.34,4.606
82008,54,265,96,80.99,4.61
82009,82,416,193,74.63,4.613
82010,100,535,298,68.28,4.6160000000000005
82011,115,612,403,61.97,4.628
82012,123,679,505,55.76,4.64
82013,132,721,599,49.69,4.67
82014,138,756,683,43.86,4.7
82015,143,780,755,38.38,4.725
82016,156,783,810,33.44,4.751
82017,159,796,853,29.35,4.756
82018,168,793,878,26.49,4.761
82019,168,796,888,25.3,4.7360000000000015
82020,192,758,874,26.01,4.712
82021,190,752,852,28.48,4.648
82022,184,746,814,32.3,4.584
82023,179,729,761,37.05,4.494
82024,165,718,696,42.42,4.404
82025,157,687,616,48.18,4.308
82026,132,681,531,54.19,4.212
82027,121,628,431,60.38,4.135
82028,105,561,327,66.67,4.059
82029,87,463,222,73.02,4.006
82030,61,328,121,79.4,3.954
82031,27,132,36,85.76,3.912
82032,0,0,0,92.09,3.87
82033,0,0,0,98.35,3.835
82034,0,0,0,104.51,3.8
82035,0,0,0,110.51,3.767
82036,0,0,0,116.32,3.735
82037,0,0,0,121.85,3.702
82038,0,0,0,127.01,3.669
82039,0,0,0,131.68,3.639
82040,0,0,0,135.69,3.609
82041,0,0,0,138.84,3.591
82042,0,0,0,140.92,3.573
82043,0,0,0,141.76,3.565
82044,0,0,0,141.27,3.5580000000000003
82045,0,0,0,139.5,3.562
82046,0,0,0,136.61,3.5660000000000003
82047,0,0,0,132.81,3.574
82048,0,0,0,128.3,3.583
82049,0,0,0,123.26,3.597
82050,0,0,0,117.82,3.612
82051,0,0,0,112.08,3.625
82052,0,0,0,106.13,3.639
82053,0,0,0,100.01,3.643
82054,0,0,0,93.78,3.647
82055,15,53,17,87.47,3.641
82056,58,224,93,81.12,3.636
82057,93,368,189,74.75,3.628
82058,117,482,294,68.4,3.621
82059,136,561,399,62.1,3.633
82060,146,634,502,55.9,3.645
82061,158,678,595,49.85,3.693
82062,184,679,673,44.03,3.742
82063,193,705,744,38.58,3.815
82064,199,722,801,33.69,3.888
82065,204,735,843,29.64,3.964
82066,209,738,868,26.82,4.041
82067,210,741,878,25.67,4.107
82068,233,703,863,26.39,4.173
82069,230,695,840,28.85,4.22
82070,223,686,801,32.65,4.267
82071,216,667,746,37.38,4.293
82072,203,648,679,42.73,4.319
82073,192,614,599,48.47,4.314
82074,152,630,518,54.48,4.311
82075,137,575,419,60.66,4.275
82076,116,514,317,66.94,4.24
82077,94,415,213,73.29,4.186
82078,62,295,115,79.66,4.132
82079,25,109,32,86.03,4.061
82080,0,0,0,92.36,3.991
82081,0,0,0,98.63,3.914
82082,0,0,0,104.79,3.837
82083,0,0,0,110.81,3.76
82084,0,0,0,116.62,3.684
82085,0,0,0,122.17,3.617
82086,0,0,0,127.35,3.551
82087,0,0,0,132.03,3.494
82088,0,0,0,136.05,3.437
82089,0,0,0,139.22,3.384
82090,0,0,0,141.3,3.332
82091,0,0,0,142.13,3.283
82092,0,0,0,141.63,3.235
82093,0,0,0,139.83,3.189
82094,0,0,0,136.91,3.143
82095,0,0,0,133.07,3.0980000000000003
82096,0,0,0,128.53,3.053
82097,0,0,0,123.46,3.009
82098,0,0,0,118.0,2.966
82099,0,0,0,112.25,2.93
82100,0,0,0,106.27,2.894
82101,0,0,0,100.15,2.87
82102,0,0,0,93.91,2.846
82103,16,120,21,87.59,2.835
82104,48,334,99,81.24,2.825
82105,72,492,200,74.87,2.8280000000000003
82106,87,607,309,68.53,2.832
82107,100,681,417,62.23,2.8510000000000004
82108,107,742,522,56.04,2.87
82109,115,781,617,50.01,2.897
82110,125,802,700,44.22,2.925
82111,131,824,773,38.79,2.945
82112,133,842,833,33.94,2.965
82113,136,853,876,29.93,2.974
82114,137,861,904,27.16,2.983
82115,138,864,914,26.04,2.9810000000000003
82116,112,901,917,26.78,2.979
82117,111,896,894,29.23,2.967
82118,108,889,854,33.01,2.955
82119,105,876,798,37.72,2.932
82120,100,859,729,43.04,2.909
82121,96,834,646,48.77,2.879
82122,89,802,552,54.76,2.849
82123,82,756,450,60.93,2.813
82124,72,698,342,67.21,2.778
82125,60,606,232,73.56,2.748
82126,44,469,126,79.93,2.718
82127,21,232,36,86.3,2.7
82128,0,0,0,92.64,2.682
82129,0,0,0,98.91,2.6860000000000004
82130,0,0,0,105.08,2.69
82131,0,0,0,111.1,2.717
82132,0,0,0,116.93,2.745
82133,0,0,0,122.49,2.776
82134,0,0,0,127.68,2.807
82135,0,0,0,132.38,2.8360000000000003
82136,0,0,0,136.42,2.865
82137,0,0,0,139.6,2.898
82138,0,0,0,141.69,2.931
82139,0,0,0,142.51,2.967
82140,0,0,0,141.98,3.004
82141,0,0,0,140.16,3.0380000000000003
82142,0,0,0,137.2,3.072
82143,0,0,0,133.33,3.096
82144,0,0,0,128.76,3.1210000000000004
82145,0,0,0,123.67,3.147
82146,0,0,0,118.18,3.175
82147,0,0,0,112.41,3.213
82148,0,0,0,106.42,3.2510000000000003
82149,0,0,0,100.29,3.286
82150,0,0,0,94.04,3.322
82151,15,91,18,87.72,3.347
